CountryData1,CountryData2,Result,Similarity,Similarities
Afghanistan,Afghanistan,True,100,{None}
Akrotiri,Croatia,False,62,"{'Algeria': 46, 'Andorra': 43, 'Antigua and Barbuda': 50, 'Argentina': 53, 'Armenia': 46, 'Artsakha': 55, 'Australia': 50, 'Austria': 55, 'Bahrain': 44, 'Bolivia': 50, 'Brazil': 50, 'Brunei': 50, 'Burundi': 44, 'Croatia': 62, 'Djibouti': 50, 'Dominica': 46, 'Dominican Republic': 43, 'Eritrea': 46, 'Eswatini': 50, 'Ethiopia': 50, 'Fiji': 57, 'Georgia': 50, 'Haiti': 50, 'Kiribati': 55, 'Liberia': 60, 'Mauritius': 43, 'Niger': 50, 'Nigeria': 60, 'Qatar': 44, 'Saudi Arabia': 43, 'Serbia': 50, 'South Africa': 43, 'Syria': 57, 'Transnistriaa': 46, 'Trinidad and Tobago': 46, 'Ukraine': 46}"
Albania,Albania,True,100,{None}
Algeria,Algeria,True,100,{None}
American Samoa,Samoa,True,100,{None}
Andorra,Andorra,True,100,{None}
Angola,Angola,True,100,{None}
Anguilla,Angola,False,67,"{'Afghanistan': 46, 'Albania': 50, 'Algeria': 50, 'Andorra': 44, 'Angola': 67, 'Antigua and Barbuda': 67, 'Argentina': 46, 'Armenia': 50, 'Australia': 43, 'Austria': 50, 'Bangladesh': 57, 'Belarus': 44, 'Bolivia': 44, 'Bosnia and Herzegovina': 43, 'Bulgaria': 46, 'Chile': 44, 'China': 44, 'Cocos (Keeling) Islands': 50, 'Dominica': 50, 'Equatorial Guinea': 46, 'Estonia': 43, 'Finland': 55, 'Georgia': 46, 'Guinea': 55, 'Guinea-Bissau': 43, 'Honduras': 43, 'Hungary': 43, 'Iceland': 44, 'India': 44, 'Indonesia': 46, 'Ireland': 44, 'Libya': 44, 'Lithuania': 55, 'Malawi': 50, 'Malta': 57, 'Sovereign Military Order of Maltaa': 50, 'Mauritania': 55, 'Federated States of Micronesia': 46, 'Moldova': 44, 'Mongolia': 57, 'Nicaragua': 55, 'Nigeria': 46, 'North Macedonia': 55, 'Palau': 57, 'Papua New Guinea': 46, 'Paraguay': 50, 'Poland': 50, 'Romania': 43, 'Russia': 55, 'Sahrawi Arab Democratic Republica': 43, 'Saint Lucia': 50, 'Saudi Arabia': 43, 'Senegal': 46, 'Singapore': 46, 'Slovenia': 55, 'Somalia': 44, 'Somalilanda': 43, 'South Africa': 43, 'Suriname': 46, 'Syria': 44, 'Tanzania': 55, 'Thailand': 50, 'Tokelau': 44, 'Tonga': 50, 'Tunisia': 50, 'Turkmenistan': 43, 'Uruguay': 46, 'Vanuatu': 43, 'Venezuela': 53}"
Antigua and Barbuda,Antigua and Barbuda,True,100,{None}
Argentina,Argentina,True,100,{None}
