CountryData1,CountryData2,Result,Similarity,Similarities
Afghanistan,Afghanistan,True,100,{None}
Akrotiri,Austria,False,53,"{'Argentina': 47, 'Australia': 47, 'Austria': 53, 'Croatia': 53}"
Albania,Albania,True,100,{None}
Algeria,Algeria,True,100,{None}
American Samoa,Samoa,False,53,"{'Algeria': 48, 'Antigua and Barbuda': 42, 'Argentina': 43, 'Armenia': 48, 'Azerbaijan': 50, 'Burkina Faso': 46, 'Mauritania': 42, 'Nicaragua': 43, 'Panama': 50, 'Samoa': 53, 'San Marino': 42, 'Sri Lanka': 43, 'Suriname': 45, 'Trinidad and Tobago': 42}"
Andorra,Andorra,True,100,{None}
Angola,Angola,True,100,{None}
Anguilla,Angola,False,71,"{'Afghanistan': 42, 'Albania': 53, 'Algeria': 53, 'Angola': 71, 'Argentina': 47, 'Armenia': 53, 'Australia': 47, 'Austria': 53, 'Bangladesh': 44, 'Guinea': 43, 'India': 46, 'Mongolia': 50, 'Russia': 43, 'Saint Lucia': 42, 'Tonga': 46, 'Venezuela': 47}"
Antigua and Barbuda,Antigua and Barbuda,True,100,{None}
Argentina,Argentina,True,100,{None}
Armenia,Armenia,True,100,{None}
Aruba,Cuba,False,67,"{'Abkhaziaa': 43, 'Albania': 50, 'Algeria': 50, 'Andorra': 50, 'Argentina': 43, 'Armenia': 50, 'Artsakha': 46, 'Australia': 43, 'Austria': 50, 'Azerbaijan': 53, 'Barbados': 46, 'Cuba': 67, 'Iran': 44, 'Iraq': 44, 'Kiribati': 46, 'Nicaragua': 43, 'Paraguay': 46, 'Peru': 44, 'Portugal': 46, 'Saudi Arabia': 47, 'Serbia': 55, 'Uruguay': 50}"
Australia,Australia,True,100,{None}
Austria,Austria,True,100,{None}
Azerbaijan,Azerbaijan,True,100,{None}
Bahamas The,Bahamas,False,78,"{'Bahamas': 78, 'Bahrain': 44, 'Bangladesh': 48, 'Barbados': 42, 'Panama': 47}"
Bahrain,Bahrain,True,100,{None}
Bangladesh,Bangladesh,True,100,{None}
Barbados,Barbados,True,100,{None}
Belarus,Belarus,True,100,{None}
Belgium,Belgium,True,100,{None}
Belize,Belize,True,100,{None}
Benin,Benin,True,100,{None}
Bermuda,Belarus,False,57,"{'Algeria': 43, 'Armenia': 43, 'Bahamas': 43, 'Bahrain': 43, 'Belarus': 57, 'Belgium': 43, 'Bhutan': 46, 'Brazil': 46, 'Brunei': 46, 'Burundi': 57, 'Denmark': 43, 'Georgia': 43, 'Germany': 57, 'Grenada': 43, 'Jordan': 46, 'Liberia': 43, 'Nigeria': 43, 'Peru': 55, 'Serbia': 46, 'Sudan': 50, 'Uruguay': 43}"
Bhutan,Bhutan,True,100,{None}
Bolivia,Bolivia,True,100,{None}
Bosnia and Herzegovina,Bosnia and Herzegovina,True,100,{None}
Botswana,Botswana,True,100,{None}
Brazil,Brazil,True,100,{None}
British Virgin Islands,Christmas Island,False,58,"{'Burkina Faso': 41, 'Christmas Island': 58, 'Cocos (Keeling) Islands': 53, 'Cook Islands': 47, 'Finland': 41, 'Marshall Islands': 58, 'Netherlands': 48, 'Norfolk Island': 44, 'Northern Cyprusa': 42, 'Saint Kitts and Nevis': 42, 'Saint Vincent and the Grenadines': 41, 'Solomon Islands': 49, 'Switzerland': 42}"
Brunei,Brunei,True,100,{None}
Bulgaria,Bulgaria,True,100,{None}
Burkina Faso,Burkina Faso,True,100,{None}
Burma,Bulgaria,False,62,"{'Armenia': 50, 'Australia': 43, 'Austria': 50, 'Bahamas': 50, 'Bahrain': 50, 'Barbados': 46, 'Belgium': 50, 'Bhutan': 55, 'Brazil': 55, 'Bulgaria': 62, 'Burkina Faso': 47, 'Burundi': 50, 'Cuba': 44, 'Germany': 50, 'Guatemala': 43, 'Honduras': 46, 'Iran': 44, 'Iraq': 44, 'Myanmar (Burma)': 50, 'Oman': 44, 'Suriname': 46, 'Turkmenistan': 47}"
Burundi,Burundi,True,100,{None}
Cabo Verde,Cape Verde,False,80,"{'Cambodia': 56, 'Cameroon': 44, 'Cape Verde': 80, 'Chad': 43, 'Singapore': 42}"
Cambodia,Cambodia,True,100,{None}
Cameroon,Cameroon,True,100,{None}
Canada,Canada,True,100,{None}
Cayman Islands,Cook Islands,False,69,"{'Bangladesh': 50, 'Canada': 50, 'Christmas Island': 67, 'Cocos (Keeling) Islands': 54, 'Cook Islands': 69, 'Finland': 48, 'Guatemala': 43, 'Iceland': 48, 'Ireland': 48, 'Kazakhstan': 42, 'Marshall Islands': 67, 'Norfolk Island': 50, 'Saint Kitts and Nevis': 46, 'San Marino': 42, 'Solomon Islands': 69, 'Somalilanda': 48, 'Thailand': 45}"
Central African Republic,Central African Republic,True,100,{None}
Chad,Chad,True,100,{None}
Chile,Chile,True,100,{None}
China,China,True,100,{None}
Christmas Island,Christmas Island,True,100,{None}
Cocos (Keeling) Islands,Cocos (Keeling) Islands,True,100,{None}
Colombia,Colombia,True,100,{None}
Comoros,Comoros,True,100,{None}
