,CountryData1,CountryData2,Result,Similarity,Similarities
0,Afghanistan,Afghanistan,True,100,{None}
1,Akrotiri,Austria,False,53,"{'Argentina': 47, 'Australia': 47, 'Austria': 53, 'Croatia': 53}"
2,Albania,Albania,True,100,{None}
3,Algeria,Algeria,True,100,{None}
4,American Samoa,Samoa,False,53,"{'Algeria': 48, 'Antigua and Barbuda': 42, 'Argentina': 43, 'Armenia': 48, 'Azerbaijan': 50, 'Burkina Faso': 46, 'Mauritania': 42, 'Nicaragua': 43, 'Panama': 50, 'Samoa': 53, 'San Marino': 42, 'Sri Lanka': 43, 'Suriname': 45, 'Trinidad and Tobago': 42}"
5,Andorra,Andorra,True,100,{None}
6,Angola,Angola,True,100,{None}
7,Anguilla,Angola,False,71,"{'Afghanistan': 42, 'Albania': 53, 'Algeria': 53, 'Angola': 71, 'Argentina': 47, 'Armenia': 53, 'Australia': 47, 'Austria': 53, 'Bangladesh': 44, 'Guinea': 43, 'India': 46, 'Mongolia': 50, 'Russia': 43, 'Saint Lucia': 42, 'Tonga': 46, 'Venezuela': 47}"
8,Antigua and Barbuda,Antigua and Barbuda,True,100,{None}
9,Argentina,Argentina,True,100,{None}
10,Armenia,Armenia,True,100,{None}
11,Aruba,Cuba,False,67,"{'Abkhaziaa': 43, 'Albania': 50, 'Algeria': 50, 'Andorra': 50, 'Argentina': 43, 'Armenia': 50, 'Artsakha': 46, 'Australia': 43, 'Austria': 50, 'Azerbaijan': 53, 'Barbados': 46, 'Cuba': 67, 'Iran': 44, 'Iraq': 44, 'Kiribati': 46, 'Nicaragua': 43, 'Paraguay': 46, 'Peru': 44, 'Portugal': 46, 'Saudi Arabia': 47, 'Serbia': 55, 'Uruguay': 50}"
12,Australia,Australia,True,100,{None}
13,Austria,Austria,True,100,{None}
14,Azerbaijan,Azerbaijan,True,100,{None}
15,Bahamas The,Bahamas,False,78,"{'Bahamas': 78, 'Bahrain': 44, 'Bangladesh': 48, 'Barbados': 42, 'Panama': 47}"
16,Bahrain,Bahrain,True,100,{None}
17,Bangladesh,Bangladesh,True,100,{None}
18,Barbados,Barbados,True,100,{None}
19,Belarus,Belarus,True,100,{None}
20,Belgium,Belgium,True,100,{None}
21,Belize,Belize,True,100,{None}
22,Benin,Benin,True,100,{None}
23,Bermuda,Belarus,False,57,"{'Algeria': 43, 'Armenia': 43, 'Bahamas': 43, 'Bahrain': 43, 'Belarus': 57, 'Belgium': 43, 'Bhutan': 46, 'Brazil': 46, 'Brunei': 46, 'Burundi': 57, 'Denmark': 43, 'Georgia': 43, 'Germany': 57, 'Grenada': 43, 'Jordan': 46, 'Liberia': 43, 'Nigeria': 43, 'Peru': 55, 'Serbia': 46, 'Sudan': 50, 'Uruguay': 43}"
24,Bhutan,Bhutan,True,100,{None}
25,Bolivia,Bolivia,True,100,{None}
26,Bosnia and Herzegovina,Bosnia and Herzegovina,True,100,{None}
27,Botswana,Botswana,True,100,{None}
28,Brazil,Brazil,True,100,{None}
29,British Virgin Islands,Christmas Island,False,58,"{'Burkina Faso': 41, 'Christmas Island': 58, 'Cocos (Keeling) Islands': 53, 'Cook Islands': 47, 'Finland': 41, 'Marshall Islands': 58, 'Netherlands': 48, 'Norfolk Island': 44, 'Northern Cyprusa': 42, 'Saint Kitts and Nevis': 42, 'Saint Vincent and the Grenadines': 41, 'Solomon Islands': 49, 'Switzerland': 42}"
30,Brunei,Brunei,True,100,{None}
31,Bulgaria,Bulgaria,True,100,{None}
32,Burkina Faso,Burkina Faso,True,100,{None}
33,Burma,Bulgaria,False,62,"{'Armenia': 50, 'Australia': 43, 'Austria': 50, 'Bahamas': 50, 'Bahrain': 50, 'Barbados': 46, 'Belgium': 50, 'Bhutan': 55, 'Brazil': 55, 'Bulgaria': 62, 'Burkina Faso': 47, 'Burundi': 50, 'Cuba': 44, 'Germany': 50, 'Guatemala': 43, 'Honduras': 46, 'Iran': 44, 'Iraq': 44, 'Myanmar (Burma)': 50, 'Oman': 44, 'Suriname': 46, 'Turkmenistan': 47}"
34,Burundi,Burundi,True,100,{None}
35,Cabo Verde,Cape Verde,False,80,"{'Cambodia': 56, 'Cameroon': 44, 'Cape Verde': 80, 'Chad': 43, 'Singapore': 42}"
36,Cambodia,Cambodia,True,100,{None}
37,Cameroon,Cameroon,True,100,{None}
38,Canada,Canada,True,100,{None}
39,Cayman Islands,Cook Islands,False,69,"{'Bangladesh': 50, 'Canada': 50, 'Christmas Island': 67, 'Cocos (Keeling) Islands': 54, 'Cook Islands': 69, 'Finland': 48, 'Guatemala': 43, 'Iceland': 48, 'Ireland': 48, 'Kazakhstan': 42, 'Marshall Islands': 67, 'Norfolk Island': 50, 'Saint Kitts and Nevis': 46, 'San Marino': 42, 'Solomon Islands': 69, 'Somalilanda': 48, 'Thailand': 45}"
40,Central African Republic,Central African Republic,True,100,{None}
41,Chad,Chad,True,100,{None}
42,Chile,Chile,True,100,{None}
43,China,China,True,100,{None}
44,Christmas Island,Christmas Island,True,100,{None}
45,Cocos (Keeling) Islands,Cocos (Keeling) Islands,True,100,{None}
46,Colombia,Colombia,True,100,{None}
47,Comoros,Comoros,True,100,{None}
48,Congo Democratic Republic of the,Democratic Republic of the Congo,False,81,"{'Central African Republic': 54, 'Democratic Republic of the Congo': 81, 'Republic of the Congo': 57, 'Czech Republic': 52, 'Dominican Republic': 52, 'Sahrawi Arab Democratic Republica': 62}"
49,Congo Republic of the,Republic of the Congo,False,71,"{'Central African Republic': 49, 'Democratic Republic of the Congo': 64, 'Republic of the Congo': 71, 'Czech Republic': 57, 'Dominican Republic': 56, 'Mongolia': 41}"
50,Cook Islands,Cook Islands,True,100,{None}
51,Costa Rica,Costa Rica,True,100,{None}
52,Cote d'Ivoire,North Korea,False,50,"{'Cape Verde': 43, 'Costa Rica': 43, 'North Korea': 50, 'South Korea': 50, 'North Macedonia': 43}"
53,Croatia,Croatia,True,100,{None}
54,Cuba,Cuba,True,100,{None}
55,Curacao,Croatia,False,57,"{'Australia': 50, 'Austria': 43, 'Burkina Faso': 53, 'Canada': 46, 'Comoros': 43, 'Costa Rica': 47, 'Croatia': 57, 'Cuba': 55, 'Ecuador': 43, 'France': 46, 'Grenada': 43, 'Guyana': 46, 'Jamaica': 43, 'Mauritania': 47, 'Monaco': 46, 'Morocco': 43, 'Saudi Arabia': 42, 'South Africa': 42}"
56,Cyprus,Cyprus,True,100,{None}
57,Czechia,China,False,67,"{'Algeria': 43, 'Armenia': 43, 'Azerbaijan': 47, 'Chad': 55, 'Chile': 50, 'China': 67, 'Croatia': 43, 'Czech Republic': 57, 'Georgia': 43, 'Liberia': 43, 'Nigeria': 43, 'Serbia': 46, 'Uzbekistan': 47}"
58,Denmark,Denmark,True,100,{None}
59,Dhekelia,Tokelau,False,53,"{'Belize': 43, 'China': 46, 'Netherlands': 42, 'New Zealand': 42, 'Serbia': 43, 'Tokelau': 53, 'Uzbekistan': 44, 'Venezuela': 47}"
60,Djibouti,Djibouti,True,100,{None}
61,Dominica,Dominica,True,100,{None}
62,Dominican Republic,Dominican Republic,True,100,{None}
63,Ecuador,Ecuador,True,100,{None}
64,Egypt,Egypt,True,100,{None}
65,El Salvador,El Salvador,True,100,{None}
66,Equatorial Guinea,Equatorial Guinea,True,100,{None}
67,Eritrea,Eritrea,True,100,{None}
68,Estonia,Estonia,True,100,{None}
69,Eswatini,Eswatini,True,100,{None}
70,Ethiopia,Ethiopia,True,100,{None}
71,European Union,Lebanon,False,48,"{'Argentina': 43, 'Benin': 42, 'East Timor': 42, 'Equatorial Guinea': 45, 'Lebanon': 48, 'Mauritania': 42, 'San Marino': 42, 'Spain': 42, 'Turkmenistan': 46}"
72,Falkland Islands (Islas Malvinas),Marshall Islands,False,45,"{'Marshall Islands': 45, 'Saint Kitts and Nevis': 41, 'Solomon Islands': 42}"
73,Faroe Islands,Cook Islands,False,72,"{'Bangladesh': 43, 'Barbados': 48, 'Christmas Island': 55, 'Cocos (Keeling) Islands': 56, 'Cook Islands': 72, 'Finland': 50, 'France': 42, 'Iceland': 50, 'Ireland': 60, 'Marshall Islands': 69, 'Netherlands': 50, 'New Zealand': 50, 'Norfolk Island': 67, 'Poland': 53, 'Saint Kitts and Nevis': 41, 'Solomon Islands': 64, 'Somalilanda': 42, 'Switzerland': 42, 'Thailand': 48}"
74,Fiji,Fiji,True,100,{None}
75,Finland,Finland,True,100,{None}
76,France,France,True,100,{None}
