CountryData1,CountryData2,Result,Similarity,Similarities
Afghanistan,Afghanistan,True,100,{None}
Akrotiri,Austria,False,53,"{'Argentina': 47, 'Australia': 47, 'Austria': 53, 'Costa Rica': 44, 'Croatia': 53, 'East Timor': 44, 'Eswatini': 50, 'Haiti': 46, 'Ivory Coast': 42, 'Kiribati': 50, 'North Korea': 42, 'South Korea': 42, 'Latvia': 43, 'Mauritania': 44, 'Mauritius': 47, 'Qatar': 46, 'Sri Lanka': 47}"
Albania,Albania,True,100,{None}
Algeria,Algeria,True,100,{None}
American Samoa,Samoa,True,100,{None}
Andorra,Andorra,True,100,{None}
Angola,Angola,True,100,{None}
Anguilla,Angola,False,71,"{'Afghanistan': 42, 'Albania': 53, 'Algeria': 53, 'Angola': 71, 'Argentina': 47, 'Armenia': 53, 'Australia': 47, 'Austria': 53, 'Bangladesh': 56, 'Brazil': 43, 'Canada': 43, 'Gambia': 43, 'Ghana': 46, 'Guatemala': 47, 'Guinea': 57, 'Guinea-Bissau': 48, 'Guyana': 43, 'India': 46, 'Latvia': 43, 'Lithuania': 47, 'Malawi': 43, 'Malta': 46, 'Mauritania': 44, 'Mongolia': 50, 'Nicaragua': 47, 'Nigeria': 53, 'Palau': 46, 'Panama': 43, 'Paraguay': 50, 'Romania': 53, 'Russia': 43, 'Rwanda': 43, 'Somalilanda': 42, 'Taiwan': 43, 'Tanzania': 50, 'Thailand': 50, 'Tonga': 46, 'Uganda': 43, 'Vanuatu': 53, 'Venezuela': 47, 'Zambia': 43}"
Antigua and Barbuda,Antigua and Barbuda,True,100,{None}
Argentina,Argentina,True,100,{None}
Armenia,Armenia,True,100,{None}
Aruba,Cuba,False,67,"{'Abkhaziaa': 43, 'Albania': 50, 'Algeria': 50, 'Andorra': 50, 'Argentina': 43, 'Armenia': 50, 'Artsakha': 46, 'Australia': 43, 'Austria': 50, 'Azerbaijan': 53, 'Bahrain': 50, 'Barbados': 62, 'Belarus': 50, 'Bulgaria': 46, 'Cambodia': 46, 'Cuba': 67, 'Gambia': 55, 'Iran': 44, 'Iraq': 44, 'Kiribati': 46, 'Mauritius': 43, 'Namibia': 50, 'Nauru': 60, 'Nicaragua': 57, 'Paraguay': 62, 'Peru': 44, 'Portugal': 46, 'Russia': 55, 'Saudi Arabia': 47, 'Serbia': 55, 'Uruguay': 50, 'Vanuatu': 50, 'Zambia': 55}"
Australia,Australia,True,100,{None}
Austria,Austria,True,100,{None}
Azerbaijan,Azerbaijan,True,100,{None}
Bahamas The,Bahamas,True,100,{None}
Bahrain,Bahrain,True,100,{None}
Bangladesh,Bangladesh,True,100,{None}
Barbados,Barbados,True,100,{None}
Belarus,Belarus,True,100,{None}
Belgium,Belgium,True,100,{None}
Belize,Belize,True,100,{None}
Benin,Benin,True,100,{None}
Bermuda,Belarus,False,57,"{'Algeria': 43, 'Armenia': 43, 'Bahamas': 43, 'Bahrain': 43, 'Belarus': 57, 'Belgium': 43, 'Bhutan': 46, 'Brazil': 46, 'Brunei': 46, 'Burundi': 57, 'Denmark': 43, 'Ecuador': 43, 'Eritrea': 43, 'Georgia': 43, 'Germany': 57, 'Grenada': 43, 'Jordan': 46, 'Liberia': 57, 'Moldova': 43, 'Nigeria': 43, 'Peru': 55, 'Romania': 43, 'Russia': 46, 'Rwanda': 46, 'Serbia': 46, 'Sudan': 50, 'Uganda': 46, 'Uruguay': 43}"
Bhutan,Bhutan,True,100,{None}
Bolivia,Bolivia,True,100,{None}
Bosnia and Herzegovina,Bosnia and Herzegovina,True,100,{None}
Botswana,Botswana,True,100,{None}
Brazil,Brazil,True,100,{None}
British Virgin Islands,Cook Islands,False,74,"{'Bosnia and Herzegovina': 41, 'Christmas Island': 58, 'Cocos (Keeling) Islands': 56, 'Cook Islands': 74, 'Guinea-Bissau': 51, 'Marshall Islands': 61, 'Netherlands': 42, 'Norfolk Island': 44, 'Saint Kitts and Nevis': 42, 'Saint Vincent and the Grenadines': 41, 'Saudi Arabia': 41, 'Solomon Islands': 64, 'Thailand': 47}"
Brunei,Brunei,True,100,{None}
Bulgaria,Bulgaria,True,100,{None}
Burkina Faso,Burkina Faso,True,100,{None}
Burma,Myanmar (Burma),True,100,{None}
Burundi,Burundi,True,100,{None}
